timestamp,active_connections,reconnect_rate
1773119698,0,0
1773119703,0,0
1773119708,0,0
1773119713,0,0
1773119718,0,0
1773119723,25,30.976666666666663
1773119728,86,105.72433333333333
1773119733,86,134.6146
1773119738,147,208.3944666666667
1773119743,213,253.56300000000005
1773119748,213,254
1773119753,298,274
1773119758,343,232
1773119763,343,232
1773119768,440,233.19060000000002
1773119773,478,204.2868
1773119779,478,210
1773119784,557,187.17466666666667
1773119789,614,227.91
1773119794,623,242
1773119799,691,202
1773119804,738,226.09006666666667
1773119809,749,233.79579999999999
1773119814,796,206.9356
1773119819,800,100.9508
1773119824,800,102
1773119829,800,8
1773119834,800,0
1773119839,800,0
1773119844,775,0
1773119849,744,0
1773119854,744,0
1773119859,744,0
1773119864,744,0
1773119869,744,0
1773119874,744,0
1773119879,744,0
1773119884,744,0
1773119889,744,0
1773119894,744,0
1773119899,744,0
1773119905,744,0
1773119910,744,0
1773119915,744,0
1773119920,744,0
1773119925,744,0
1773119930,744,0
1773119935,744,0
1773119940,744,0
1773119945,744,0
1773119950,744,0
1773119955,717,0
1773119960,697,0
1773119965,697,0
1773119970,697,0
1773119975,697,0
1773119980,697,0
1773119985,697,0
1773119990,697,0
1773119995,697,0
1773120000,697,0
1773120005,697,0
1773120010,639,0
1773120015,445,0
1773120021,445,0
1773120026,445,0
1773120031,445,0
1773120036,445,0
1773120041,445,0
1773120046,445,0
1773120051,445,0
1773120056,445,0
1773120061,445,0
1773120066,438,0
1773120071,79,0
1773120076,79,0
