tag,sweep,cooldown,target,scrape,step,gap,clients,expected_replicas,scale_up_s,replicas_at_gap_start,min_replicas_gap,safe,scaledown_reaction_s,scaledown_duration_s,max_step_down,blast_radius_conns,peak_replicas,peak_connections
cooldown_cd120_T100_s15_st2_g110_c800,cooldown,120,100,15,2,110,800,8,57,8,8,1,65,166,2,200,9,850.0
cooldown_cd120_T100_s15_st2_g130_c800,cooldown,120,100,15,2,130,800,8,56,8,8,1,154,164,2,200,8,800.0
cooldown_cd150_T100_s15_st2_g140_c800,cooldown,150,100,15,2,140,800,8,62,8,8,1,99,195,2,200,9,816.0
cooldown_cd150_T100_s15_st2_g160_c800,cooldown,150,100,15,2,160,800,8,61,8,8,1,181,196,2,200,8,800.0
cooldown_cd180_T100_s15_st2_g170_c800,cooldown,180,100,15,2,170,800,8,56,8,8,1,216,226,2,200,8,821.0
cooldown_cd180_T100_s15_st2_g190_c800,cooldown,180,100,15,2,190,800,8,51,8,8,1,215,225,2,200,8,800.0
cooldown_cd30_T100_s15_st2_g20_c800,cooldown,30,100,15,2,20,800,8,56,8,8,1,63,68,4,200,9,800.0
cooldown_cd30_T100_s15_st2_g40_c800,cooldown,30,100,15,2,40,800,8,61,8,8,1,68,78,2,200,8,800.0
cooldown_cd60_T100_s15_st2_g50_c800,cooldown,60,100,15,2,50,800,8,62,8,8,1,94,104,2,200,8,812.0
cooldown_cd60_T100_s15_st2_g70_c800,cooldown,60,100,15,2,70,800,8,67,8,8,1,93,108,2,200,8,800.0
cooldown_cd90_T100_s15_st2_g100_c800,cooldown,90,100,15,2,100,800,8,51,8,8,1,126,136,2,200,8,800.0
cooldown_cd90_T100_s15_st2_g80_c800,cooldown,90,100,15,2,80,800,8,66,8,8,1,33,134,2,200,9,832.0
